stfid00,block,ward,stfid00_bg,blockgr,tract,cntynme,mcdnme,placenme,neighbor,district,SIA,geonei,geoname,buck_zone
390351011011000,1011.01-1000,18,390351011011,1011.01-1,1011.01,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011011001,1011.01-1001,18,390351011011,1011.01-1,1011.01,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011011002,1011.01-1002,18,390351011011,1011.01-1,1011.01,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011011003,1011.01-1003,18,390351011011,1011.01-1,1011.01,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011011004,1011.01-1004,18,390351011011,1011.01-1,1011.01,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011012000,1011.01-2000,18,390351011012,1011.01-2,1011.01,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011012001,1011.01-2001,19,390351011012,1011.01-2,1011.01,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011012002,1011.01-2002,19,390351011012,1011.01-2,1011.01,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011012003,1011.01-2003,19,390351011012,1011.01-2,1011.01,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011012004,1011.01-2004,19,390351011012,1011.01-2,1011.01,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011012005,1011.01-2005,19,390351011012,1011.01-2,1011.01,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011012006,1011.01-2006,19,390351011012,1011.01-2,1011.01,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011021000,1011.02-1000,18,390351011021,1011.02-1,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011021001,1011.02-1001,18,390351011021,1011.02-1,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011021002,1011.02-1002,18,390351011021,1011.02-1,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011021003,1011.02-1003,19,390351011021,1011.02-1,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011021004,1011.02-1004,19,390351011021,1011.02-1,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011022000,1011.02-2000,19,390351011022,1011.02-2,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011022001,1011.02-2001,18,390351011022,1011.02-2,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011022002,1011.02-2002,18,390351011022,1011.02-2,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011022003,1011.02-2003,18,390351011022,1011.02-2,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011022004,1011.02-2004,19,390351011022,1011.02-2,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011023000,1011.02-3000,18,390351011023,1011.02-3,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011023001,1011.02-3001,18,390351011023,1011.02-3,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011023002,1011.02-3002,18,390351011023,1011.02-3,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011023003,1011.02-3003,18,390351011023,1011.02-3,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011023004,1011.02-3004,18,390351011023,1011.02-3,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011023005,1011.02-3005,18,390351011023,1011.02-3,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011023006,1011.02-3006,18,390351011023,1011.02-3,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011023007,1011.02-3007,18,390351011023,1011.02-3,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024000,1011.02-4000,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024001,1011.02-4001,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024002,1011.02-4002,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024003,1011.02-4003,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024004,1011.02-4004,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024005,1011.02-4005,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024006,1011.02-4006,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024007,1011.02-4007,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024008,1011.02-4008,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024009,1011.02-4009,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024010,1011.02-4010,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024011,1011.02-4011,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024012,1011.02-4012,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024013,1011.02-4013,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024014,1011.02-4014,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024015,1011.02-4015,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024016,1011.02-4016,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024017,1011.02-4017,18,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351011024999,1011.02-4999,,390351011024,1011.02-4,1011.02,Cuyahoga,Cleveland city,Cleveland city,Edgewater,1,,Edgewater I,Ohio City,
390351012001000,1012.00-1000,18,390351012001,1012.00-1,1012,Cuyahoga,Cleveland city,Cleveland city,Detroit-Shoreway,2,Detroit-Shoreway,Detroit-Shoreway,Central - Downtown - West,
390351012001001,1012.00-1001,18,390351012001,1012.00-1,1012,Cuyahoga,Cleveland city,Cleveland city,Detroit-Shoreway,2,,Detroit-Shoreway,Central - Downtown - West,
390351012001002,1012.00-1002,18,390351012001,1012.00-1,1012,Cuyahoga,Cleveland city,Cleveland city,Detroit-Shoreway,2,,Detroit-Shoreway,Central - Downtown - West,
390351012001003,1012.00-1003,17,390351012001,1012.00-1,1012,Cuyahoga,Cleveland city,Cleveland city,Detroit-Shoreway,2,Detroit-Shoreway,Detroit-Shoreway,Central - Downtown - West,
390351012001004,1012.00-1004,17,390351012001,1012.00-1,1012,Cuyahoga,Cleveland city,Cleveland city,Detroit-Shoreway,2,Detroit-Shoreway,Detroit-Shoreway,Central - Downtown - West,
390351012001005,1012.00-1005,17,390351012001,1012.00-1,1012,Cuyahoga,Cleveland city,Cleveland city,Detroit-Shoreway,2,Detroit-Shoreway,Detroit-Shoreway,Central - Downtown - West,
390351012001006,1012.00-1006,17,390351012001,1012.00-1,1012,Cuyahoga,Cleveland city,Cleveland city,Detroit-Shoreway,2,Detroit-Shoreway,Detroit-Shoreway,Central - Downtown - West,
390351012001007,1012.00-1007,17,390351012001,1012.00-1,1012,Cuyahoga,Cleveland city,Cleveland city,Detroit-Shoreway,2,Detroit-Shoreway,Detroit-Shoreway,Central - Downtown - West,
390351012001008,1012.00-1008,17,390351012001,1012.00-1,1012,Cuyahoga,Cleveland city,Cleveland city,Detroit-Shoreway,2,Detroit-Shoreway,Detroit-Shoreway,Central - Downtown - West,
390351012001009,1012.00-1009,17,390351012001,1012.00-1,1012,Cuyahoga,Cleveland city,Cleveland city,Detroit-Shoreway,2,Detroit-Shoreway,Detroit-Shoreway,Central - Downtown - West,
390351012001010,1012.00-1010,17,390351012001,1012.00-1,1012,Cuyahoga,Cleveland city,Cleveland city,Detroit-Shoreway,2,Detroit-Shoreway,Detroit-Shoreway,Central - Downtown - West,
390351012001011,1012.00-1011,17,390351012001,1012.00-1,1012,Cuyahoga,Cleveland city,Cleveland city,Detroit-Shoreway,2,Detroit-Shoreway,Detroit-Shoreway,Central - Downtown - West,
390351012001012,1012.00-1012,17,390351012001,1012.00-1,1012,Cuyahoga,Cleveland city,Cleveland city,Detroit-Shoreway,2,Detroit-Shoreway,Detroit-Shoreway,Central - Downtown - West,
