,,,
NEO CANDO Data Export,,,
,,,
County,Census Tract,lead_number,lead_pct
Cuyahoga,1011.01,6,14.63
Cuyahoga,1011.02,4,8.16
Cuyahoga,1012,4,6.15
Cuyahoga,1013,7,16.67
Cuyahoga,1014,9,13.64
Cuyahoga,1015.01,5,6.85
Cuyahoga,1016.03,9,13.24
Cuyahoga,1017,15,14.02
Cuyahoga,1018,19,20
Cuyahoga,1019.01,17,25
Cuyahoga,1021.01,12,10.62
Cuyahoga,1021.02,3,4.55
Cuyahoga,1022,5,7.69
Cuyahoga,1023,6,8.33
Cuyahoga,1024.01,8,10.53
Cuyahoga,1024.02,16,13.56
Cuyahoga,1027,21,12.28
Cuyahoga,1028,13,20
Cuyahoga,1029,10,15.38
Cuyahoga,1031,2,11.11
Cuyahoga,1033,3,3.75
Cuyahoga,1034,9,10.59
Cuyahoga,1035,7,13.73
Cuyahoga,1036.02,1,3.57
Cuyahoga,1038,13,19.7
Cuyahoga,1039,7,11.48
Cuyahoga,1041,1,8.33
Cuyahoga,1042,0,0
Cuyahoga,1043,3,11.54
Cuyahoga,1044,4,19.05
Cuyahoga,1046,7,19.44
Cuyahoga,1048,10,14.71
Cuyahoga,1049,14,19.18
Cuyahoga,1051,17,13.71
Cuyahoga,1053,25,22.73
Cuyahoga,1054,15,14.56
Cuyahoga,1055,6,11.32
Cuyahoga,1056.02,10,18.18
Cuyahoga,1057,9,10.59
Cuyahoga,1059,5,10.2
Cuyahoga,1061,3,6.38
Cuyahoga,1062,4,4.6
Cuyahoga,1063,6,7.89
Cuyahoga,1064,5,14.71
Cuyahoga,1065,4,8.33
Cuyahoga,1066,7,8.75
Cuyahoga,1068,8,10.26
Cuyahoga,1069,4,6.56
Cuyahoga,1070,0,0
Cuyahoga,1071.01,-99,-99
Cuyahoga,1077.01,0,0
Cuyahoga,1078.02,4,8.16
Cuyahoga,1082.01,2,8
Cuyahoga,1083.01,15,8.02
Cuyahoga,1084,8,16
Cuyahoga,1087.01,21,6.09
Cuyahoga,1093.01,2,5.26
Cuyahoga,1097.01,7,5.43
Cuyahoga,1098.01,10,5.35
Cuyahoga,1105.01,0,0
Cuyahoga,1108.01,11,30.56
Cuyahoga,1109.01,15,21.74
Cuyahoga,1112.02,7,26.92
Cuyahoga,1114.01,11,15.49
Cuyahoga,1115,16,48.48
Cuyahoga,1116,13,32.5
Cuyahoga,1117,8,15.09
Cuyahoga,1118,7,18.92
Cuyahoga,1119.02,5,17.86
Cuyahoga,1121,5,9.09
Cuyahoga,1122,6,11.11
Cuyahoga,1123.01,6,18.18
Cuyahoga,1124,4,14.29
Cuyahoga,1125,14,26.92
Cuyahoga,1126,7,13.73
Cuyahoga,1128,2,9.09
Cuyahoga,1131.01,2,11.76
Cuyahoga,1135,5,20
Cuyahoga,1136,4,16
Cuyahoga,1138.01,14,10.77
Cuyahoga,1141,5,10.64
Cuyahoga,1143,13,7.43
Cuyahoga,1145.01,3,15
Cuyahoga,1146,11,26.83
Cuyahoga,1147,3,13.64
Cuyahoga,1149,10,18.87
Cuyahoga,1151,9,26.47
Cuyahoga,1152,5,16.67
Cuyahoga,1153,1,4.35
Cuyahoga,1154,8,15.69
Cuyahoga,1157,4,10.53
