,,,
NEO CANDO Data Export,,,
,,,
County,Census Tract,pct_white,moe
Cuyahoga,1011.01,47.01,10.81
Cuyahoga,1011.02,78.4,5.7
Cuyahoga,1012,73.26,7.4
Cuyahoga,1013,64.03,12.04
Cuyahoga,1014,61.75,9.36
Cuyahoga,1015.01,61.96,5
Cuyahoga,1016.03,61.31,5.83
Cuyahoga,1017,51.48,4.8
Cuyahoga,1018,57.49,10.03
Cuyahoga,1019.01,69.31,19.71
Cuyahoga,1021.01,57.76,5.02
Cuyahoga,1021.02,70.87,7.96
Cuyahoga,1022,65.27,6.1
Cuyahoga,1023,60.58,8.91
Cuyahoga,1024.01,67.11,6.54
Cuyahoga,1024.02,64.35,12.83
Cuyahoga,1027,63.14,9.48
Cuyahoga,1028,70.35,10.72
Cuyahoga,1029,66.42,8.68
Cuyahoga,1031,75.19,13.28
Cuyahoga,1033,29.43,5.89
Cuyahoga,1034,51.64,4.98
Cuyahoga,1035,66.93,13.62
Cuyahoga,1036.02,69.35,5.42
Cuyahoga,1038,60.46,8.02
Cuyahoga,1039,46.45,7.92
Cuyahoga,1041,70.56,9.11
Cuyahoga,1042,67.32,10.37
Cuyahoga,1043,83.55,7.37
Cuyahoga,1044,87.3,5.87
Cuyahoga,1046,48.47,8.99
Cuyahoga,1048,56.17,11.85
Cuyahoga,1049,63.89,9.2
Cuyahoga,1051,76.97,8.77
Cuyahoga,1053,62.31,9.46
Cuyahoga,1054,67.43,7.09
Cuyahoga,1055,60.66,9.8
Cuyahoga,1056.02,73.19,11.92
Cuyahoga,1057,64.26,8.69
Cuyahoga,1059,86.37,6.66
Cuyahoga,1061,82.73,7.27
Cuyahoga,1062,80.97,9.2
Cuyahoga,1063,71.54,9.03
Cuyahoga,1064,93.94,5.13
Cuyahoga,1065,89.77,4.13
Cuyahoga,1066,90.92,6.78
Cuyahoga,1068,82.13,6.27
Cuyahoga,1069,86.7,5.82
Cuyahoga,1070,90.47,2.28
Cuyahoga,1071.01,57.52,5.13
Cuyahoga,1077.01,56.73,8.32
Cuyahoga,1078.02,45.83,9.1
Cuyahoga,1082.01,59.58,15.85
Cuyahoga,1083.01,37.33,11.45
Cuyahoga,1084,40.89,14.79
Cuyahoga,1087.01,6.61,3.39
Cuyahoga,1093.01,4.67,2.53
Cuyahoga,1097.01,20.75,5.49
Cuyahoga,1098.01,1.6,1.69
Cuyahoga,1105.01,53.17,3.84
Cuyahoga,1108.01,63.76,17.48
Cuyahoga,1109.01,51.9,10.1
Cuyahoga,1112.02,21.44,9.98
Cuyahoga,1114.01,2.66,2.76
Cuyahoga,1115,26.63,10.85
Cuyahoga,1116,12.82,7.2
Cuyahoga,1117,8.87,7.18
Cuyahoga,1118,2.52,3.15
Cuyahoga,1119.02,1.94,2.06
Cuyahoga,1121,2.44,2.23
Cuyahoga,1122,0,0.64
Cuyahoga,1123.01,3.33,3.61
Cuyahoga,1124,2,2.29
Cuyahoga,1125,4.69,2
Cuyahoga,1126,1.94,2.65
Cuyahoga,1128,5.39,5.74
Cuyahoga,1131.01,12.5,1.29
Cuyahoga,1135,0,0.95
Cuyahoga,1136,4.18,3.54
Cuyahoga,1138.01,6.46,4.88
Cuyahoga,1141,0.08,0.32
Cuyahoga,1143,4.73,5.72
Cuyahoga,1145.01,9.2,7.74
Cuyahoga,1146,37.16,10.96
Cuyahoga,1147,0,2.75
Cuyahoga,1149,49.79,10.61
Cuyahoga,1151,49.96,9.1
Cuyahoga,1152,38.83,14.72
Cuyahoga,1153,43.46,12.08
Cuyahoga,1154,47.07,7.86
Cuyahoga,1157,50.46,15.8
Cuyahoga,1158,48.77,7.08
Cuyahoga,1159,44.56,6.01
Cuyahoga,1161,0.18,0.45
Cuyahoga,1162,1.08,1.35
Cuyahoga,1163,1.31,1.44
Cuyahoga,1164,0.83,0.76
Cuyahoga,1165,0.16,0.29
Cuyahoga,1166,0.19,0.3
Cuyahoga,1167,2.06,2.97
Cuyahoga,1168,0.48,0.61
Cuyahoga,1169,2.63,2.58
Cuyahoga,1171.01,22.88,5.06
Cuyahoga,1171.02,0.27,1.13
Cuyahoga,1172.01,23.69,2.8
Cuyahoga,1172.02,18.97,6.02
Cuyahoga,1173,10.34,5.01
Cuyahoga,1174,20.74,5.81
Cuyahoga,1175,11.23,3.89
Cuyahoga,1176,29.94,3.98
Cuyahoga,1177,48.62,4.43
Cuyahoga,1178,20.78,5.84
Cuyahoga,1179,7.37,3.69
Cuyahoga,1181.01,2.12,1.67
Cuyahoga,1182,0.42,0.46
Cuyahoga,1183.01,3.02,3.5
Cuyahoga,1184,0.93,1.34
Cuyahoga,1185,2.76,4.22
Cuyahoga,1186.02,0.47,0.66
Cuyahoga,1187,59.71,4.45
Cuyahoga,1188,61.71,9.43
Cuyahoga,1189,9.87,9.91
Cuyahoga,1191,49.59,11.26
Cuyahoga,1192.02,30.23,8.96
Cuyahoga,1193,1.24,0.99
Cuyahoga,1194.01,14.23,4.04
Cuyahoga,1194.02,5.31,3.81
Cuyahoga,1195.01,34.07,4.56
Cuyahoga,1195.02,22.6,13.59
Cuyahoga,1196,5.91,4.75
Cuyahoga,1197.01,1.04,1.2
Cuyahoga,1197.02,0,0.49
Cuyahoga,1198,0,0.29
Cuyahoga,1199,3.97,4.51
Cuyahoga,1202,1.54,1.55
Cuyahoga,1204,0.51,0.71
Cuyahoga,1205,0.38,0.6
Cuyahoga,1206,1.13,1.38
Cuyahoga,1207.01,0.56,0.84
Cuyahoga,1207.02,0,0.64
Cuyahoga,1208.01,0.63,0.81
Cuyahoga,1208.02,3.38,5.21
Cuyahoga,1211,0.88,1.37
Cuyahoga,1212,1.03,1.4
Cuyahoga,1213,6.46,6.31
Cuyahoga,1214.01,0,0.52
Cuyahoga,1214.03,1.17,0.98
Cuyahoga,1215,0.87,1.3
Cuyahoga,1217,0,0.29
Cuyahoga,1218,1.7,1.88
Cuyahoga,1219,2.97,3.61
Cuyahoga,1221,1.8,1.5
Cuyahoga,1222,0.88,1.16
Cuyahoga,1223,1.81,1.47
Cuyahoga,1231,91.18,3.4
Cuyahoga,1232,92.96,5.47
Cuyahoga,1234,96.21,7.21
Cuyahoga,1235.01,73.89,7.5
Cuyahoga,1235.02,76.46,10.42
Cuyahoga,1236.01,91.66,6.22
Cuyahoga,1236.02,86.49,9.27
Cuyahoga,1236.03,92.77,2.54
Cuyahoga,1237,79.56,7
Cuyahoga,1238,43.13,9.31
Cuyahoga,1239,78.75,5.01
Cuyahoga,1241,70.38,5.18
Cuyahoga,1242.01,74.77,7.34
Cuyahoga,1242.02,83.11,6
Cuyahoga,1243,45.61,5.78
Cuyahoga,1245,74.33,6.23
Cuyahoga,1246,72.72,2.97
Cuyahoga,1261,8.39,3.37
Cuyahoga,1275.01,5.93,4.05
Cuyahoga,1301.03,95.83,1.75
Cuyahoga,1301.04,97.58,5.95
Cuyahoga,1301.05,97.91,0.8
Cuyahoga,1301.06,98.69,0.3
Cuyahoga,1311.02,62.45,4.19
Cuyahoga,1311.03,93.02,1.74
Cuyahoga,1311.04,86.36,2.95
Cuyahoga,1321,48.07,4.03
Cuyahoga,1322,54.34,8.61
Cuyahoga,1323.01,39.24,8.39
Cuyahoga,1323.02,46.01,7.75
Cuyahoga,1331.03,15.82,5.94
Cuyahoga,1331.04,22.71,4.64
Cuyahoga,1341,77.45,9.38
Cuyahoga,1342.03,86.85,5.93
Cuyahoga,1342.04,92.71,5.83
Cuyahoga,1342.05,88.85,17.88
Cuyahoga,1342.06,93.65,0.96
Cuyahoga,1343,88.38,3.49
Cuyahoga,1351.03,97.84,2.22
Cuyahoga,1351.04,97.19,2.44
Cuyahoga,1351.05,90.7,3.67
Cuyahoga,1351.06,99.43,1.52
Cuyahoga,1361.01,91.6,3.12
Cuyahoga,1361.02,87.69,3.64
Cuyahoga,1361.03,92.16,3.93
Cuyahoga,1371.01,81.59,7.82
Cuyahoga,1371.02,87.03,5.78
